,name,latitude,longitude,Venue,Venue Id,Venue Latitude,Venue Longitude,Venue postalCode,Venue Category
90,Redcliffe,51.4478,-2.5895,The Ox,5291302911d2e680e6a83849,51.454465937285164,-2.594465540507735,BS1 1HT,Steakhouse
91,Redcliffe,51.4478,-2.5895,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant
92,Redcliffe,51.4478,-2.5895,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant
93,Redcliffe,51.4478,-2.5895,The Prince Street Social,56d0c35dcd105fe2c43a4796,51.45059531983873,-2.596522160683959,BS1 4PS,Gastropub
94,Redcliffe,51.4478,-2.5895,Pata Negra,5409ee3f498ea27289eb00e1,51.453949625289084,-2.5951340486910333,BS1 1YH,Tapas Restaurant
95,Redcliffe,51.4478,-2.5895,Steak Of The Art,527be3db498e22b9354f15c3,51.449742734594274,-2.602994956298978,BS1 5LN,Steakhouse
96,Redcliffe,51.4478,-2.5895,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant
97,Redcliffe,51.4478,-2.5895,Smiley's Plaice,4f467478e4b054466e0fe82b,51.44115368330618,-2.599000113780284,,Seafood Restaurant
98,Redfield,51.45971,-2.55653,Winstons Fish Bar,4d3445cf5c2db60c6d43d26c,51.451753,-2.55695,,Seafood Restaurant
99,Redland,51.47241,-2.60321,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant
100,Redland,51.47241,-2.60321,The Spiny Lobster,54f8b936498e18d291786c04,51.468879333842295,-2.6138225555078534,,Seafood Restaurant
101,Redland,51.47241,-2.60321,Brewhouse & Kitchen,54f8b36e498e754ce4ddd03c,51.464018,-2.608344,BS6 6LT,Gastropub
102,Redland,51.47241,-2.60321,The Grace,53bc174c498eb3d61c9139c5,51.475253430705735,-2.5909394494923603,,Gastropub
103,Redland,51.47241,-2.60321,The Ox Clifton,5690138b38fa7ef44d355842,51.467233,-2.612135,,Steakhouse
